id,generator,judge,dramatic_potenzialeStorytelling,dramatic_situazioneDrammatica,dramatic_realizzazioneElementiDinamici,dramatic_turningPoints__eventoScatenantePresente,dramatic_turningPoints__eventoScatenanteOrdinato,dramatic_turningPoints__eventoScatenanteScena,dramatic_turningPoints__climaxPresente,dramatic_turningPoints__climaxOrdinato,dramatic_turningPoints__climaxScena,dramatic_turningPoints__risoluzionePresente,dramatic_turningPoints__risoluzioneOrdinato,dramatic_turningPoints__risoluzioneScena
gpt_0020,gpt,humanDrama,2.0,2.0,1.0,False,,,False,,,True,True,7.0
gpt_0026,gpt,humanDrama,1.0,2.0,2.0,False,,,False,,,False,,
gpt_0027,gpt,humanDrama,2.0,2.0,2.0,True,True,1.0,True,True,5.0,False,,
gpt_0054,gpt,humanDrama,2.0,1.0,1.0,False,,,True,True,5.0,False,,
gpt_0055,gpt,humanDrama,1.0,2.0,2.0,False,,,False,,,False,,
gpt_0057,gpt,humanDrama,1.0,1.0,1.0,False,,,False,,,False,,
gpt_0060,gpt,humanDrama,2.0,2.0,2.0,True,True,2.0,False,,,True,True,7.0
gpt_0064,gpt,humanDrama,1.0,1.0,1.0,False,,,False,,,False,,
gpt_0068,gpt,humanDrama,1.0,1.0,1.0,True,True,2.0,True,True,4.0,True,True,7.0
gpt_0091,gpt,humanDrama,2.0,1.0,1.0,True,True,2.0,True,True,3.0,True,True,6.0
gpt_0092,gpt,humanDrama,2.0,2.0,1.0,True,,5.0,False,,,True,True,7.0
gpt_0093,gpt,humanDrama,1.0,1.0,1.0,False,,,False,,,False,,
gpt_0096,gpt,humanDrama,2.0,1.0,1.0,True,True,2.0,True,True,5.0,True,True,7.0
gpt_0098,gpt,humanDrama,3.0,2.0,2.0,True,True,1.0,True,True,6.0,True,True,7.0
