id,historical_plausibilita__EventiStorici,historical_plausibilita__PersonaggiStorici,historical_plausibilita__LuoghiAmbientazioni,historical_aderenzaEventoOriginale,noteUmane
ds_0054,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,3 - Fedele,piuttosto attinente salvo sbavature varie
ds_0056,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,La scena è tipica rappresentazione della forza del sovrano che abbatte i nemici.
ds_0064,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,"""gridi autoritari"". ""Avanzano a ventaglio""... sono in due. ""Nefer e Khamudi, due bovari al servizio del tempio di Amon"", in realtà sono al massimo del generale Iti dalla tomba del quale arriva pittura. "
ds_0069,1 - Implausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,1 - Divergente,
ds_0070,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
ds_0079,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,"datazione e circostanza completamente inventata. Non c'erano i dati necessari,"
ds_0092,2 - Tendenzialmente Plausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
gem_0001,1 - Implausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
gem_0002,3 - Sempre Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,3 - Fedele,
gem_0004,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
gem_0005,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,1 - Implausibili,2 - Rielaborativo,
gem_0011,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
gem_0016,3 - Sempre Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,3 - Fedele,
gem_0018,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,1 - Divergente,stessa situazione di ruoli invertiti osservata in ds 33.
gem_0022,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,2 - Rielaborativo,
gem_0026,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
gem_0031,3 - Sempre Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,3 - Fedele,
gem_0032,1 - Implausibili,1 - Implausibili,2 - Tendenzialmente Plausibili,1 - Divergente,"il Faraone Thutmosi III, il 'Napoleone d'Egitto', sta marciando verso nord; Le macchine d'assedio egizie,"
gem_0042,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
gem_0051,3 - Sempre Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,2 - Rielaborativo,
gem_0059,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
gem_0063,3 - Sempre Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,2 - Rielaborativo,
gem_0064,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,2 - Rielaborativo,scena ouroboros non corretta
gem_0076,1 - Implausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
gem_0077,3 - Sempre Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,2 - Rielaborativo,
gem_0094,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
gem_0096,2 - Tendenzialmente Plausibili,3 - Sempre Plausibili,3 - Sempre Plausibili,2 - Rielaborativo,
gpt_0001,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
gpt_0002,1 - Implausibili,1 - Implausibili,2 - Tendenzialmente Plausibili,1 - Divergente,"Come per gli altri 2 LLM, è frainteso chi accusa chi."
gpt_0005,1 - Implausibili,1 - Implausibili,2 - Tendenzialmente Plausibili,1 - Divergente,
gpt_0008,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
gpt_0009,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
gpt_0011,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
gpt_0020,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
gpt_0026,1 - Implausibili,2 - Tendenzialmente Plausibili,1 - Implausibili,1 - Divergente,
gpt_0027,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,Schiaparelli e il curatore Drovetti
gpt_0054,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,inchiostro di seppia
gpt_0055,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
gpt_0057,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
gpt_0060,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,"""Regione di Maasai, Kenya"""
gpt_0064,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
gpt_0068,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,La priestessa
gpt_0091,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,Parco Nazionale del Serengeti
gpt_0092,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,"Kha, forse un barbiere di corte"
gpt_0093,1 - Implausibili,1 - Implausibili,1 - Implausibili,1 - Divergente,
gpt_0096,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,2 - Rielaborativo,
gpt_0098,1 - Implausibili,2 - Tendenzialmente Plausibili,2 - Tendenzialmente Plausibili,1 - Divergente,macchine d’assedio robuste
